gene	BB09.rpkm	BB10.rpkm	BB17.rpkm	BB19.rpkm	BB20.rpkm	BB21.rpkm	BB11.rpkm	BB12.rpkm	BB18.rpkm	reflen
thrL.t01	41	37	18	19	9	41	31	163	16	66
thrA.t01	3384	2775	1160	1241	1092	1794	2349	6651	1710	2463
thrB.t01	1191	821	388	537	454	713	878	2434	614	933
thrC.t01	1475	1249	429	479	537	739	1143	3492	722	1287
yaaX.t01	230	255	59	76	74	167	215	726	158	297
yaaA.t01	1121	994	393	326	305	519	741	2418	559	777
yaaJ.t01	1730	1561	467	763	683	893	1443	4185	920	1431
talB.t01	23549	23601	15543	10525	9891	9543	12119	13579	7538	954
mog.t01	1272	1055	635	585	467	636	859	1662	450	588
satP.t01	775	651	303	399	299	540	771	1593	458	567
yaaW.t01	625	564	210	250	183	343	570	1907	346	714
yaaI.t01	362	298	162	122	130	161	245	1008	149	405
dnaK.t01	18223	16098	7848	25379	21242	19778	40182	30478	14459	1917
dnaJ.t01	2437	1842	803	1472	1440	1259	2297	3498	1410	1131
insL1.t01	3681	3321	1269	1212	1208	2273	2705	8502	1901	1113
mokC.t01	65	75	17	31	26	42	55	153	23	210
hokC.t01	108	71	41	29	38	56	102	214	53	153
sokC.r01	0	0	0	0	0	0	0	0	0	55
nhaA.t01	2210	1697	765	1354	1178	1444	1610	3709	1087	1167
nhaR.t01	2493	2247	1015	1963	1783	1762	2393	3412	1138	906
insB1.t01	3739	3627	1568	1464	1463	2319	2309	7245	1925	504
insA.t01	2366	2027	1050	1230	1031	1449	1862	4615	1303	276
rpsT.t01	29617	29181	24113	15533	13532	11401	20764	13176	8064	264
yaaY.t01	179	111	54	102	116	176	196	540	110	219
ribF.t01	1534	1033	524	486	527	751	1105	2721	688	942
ileS.t01	8337	6761	4309	4080	3774	3416	5118	8533	3079	2817
lspA.t01	845	740	377	312	306	349	662	1211	423	495
fkpB.t01	1066	1058	555	523	493	509	600	1406	441	450
ispH.t01	1834	1687	1119	851	739	768	1142	2804	697	951
rihC.t01	1806	1737	1002	794	700	893	1880	2717	707	915
dapB.t01	1229	975	651	739	794	794	1044	2153	623	822
carA.t01	6762	5830	3553	2362	2039	1785	1915	3925	1466	1149
carB.t01	15899	13473	8599	5313	4303	3694	4976	9192	3699	3222
caiF.t01	352	263	115	82	94	138	160	731	159	396
caiE.t01	451	320	120	146	132	381	330	1193	282	591
caiD.t01	585	664	173	198	244	324	651	1755	356	786
caiC.t01	1572	1232	539	473	497	849	1281	3913	791	1554
caiB.t01	1476	1301	753	690	749	1092	1570	3563	853	1218
caiA.t01	1020	962	303	370	374	503	709	2461	537	1143
caiT.t01	1182	1013	368	296	336	758	1086	3781	713	1515
fixA.t01	660	544	174	206	188	401	654	1730	400	771
fixB.t01	764	515	228	224	240	512	791	2240	540	942
fixC.t01	1086	924	248	286	307	674	868	3074	597	1287
fixX.t01	178	150	61	82	39	126	128	536	130	288
yaaU.t01	1229	920	274	359	277	723	936	3170	660	1332
kefF.t01	492	383	156	336	325	346	466	1271	335	531
kefC.t01	1580	1377	494	765	771	986	1279	4252	910	1863
folA.t01	1515	1746	1244	697	568	651	1087	1549	548	480
apaH.t01	1115	1113	513	603	493	659	820	2187	587	843
apaG.t01	1922	2005	1233	1581	1453	1295	1439	1493	766	378
rsmA.t01	2697	2165	1329	1454	1332	1295	1531	2581	1053	822
pdxA.t01	8439	8075	5356	4656	3688	3582	5620	6187	3361	990
surA.t01	4105	3920	2620	2290	2143	2239	3314	4703	2077	1287
lptD.t01	10744	10139	6132	6833	6302	5426	6471	8276	3494	2355
djlA.t01	884	826	289	313	347	451	767	2034	425	816
rluA.t01	495	496	175	241	173	339	540	1343	298	660
rapA.t01	3058	2544	1502	1420	1261	2271	2433	7009	2089	2907
polB.t01	2081	1945	598	2404	2099	2142	3354	6441	1865	2352
araD.t01	506	416	176	165	169	297	429	1659	330	696
araA.t01	1203	1135	480	438	456	684	1002	3671	837	1503
araB.t01	1574	1321	283	458	368	659	1174	4036	795	1701
araC.t01	1372	1351	547	572	521	534	1639	2447	648	879
yabI.t01	631	526	209	212	194	399	598	1860	376	765
thiQ.t01	544	466	161	177	172	362	536	1431	349	699
thiP.t01	1364	1058	425	374	398	740	1018	3571	741	1611
thiB.t01	1410	1258	564	386	345	608	992	2579	665	984
sgrR.t01	2166	1806	848	900	787	985	1402	4348	967	1656
sgrS.r01	239	238	72	163	150	204	531	644	179	227
sgrT.t01	40	45	18	32	16	38	72	164	49	132
setA.t01	1145	912	371	350	314	609	948	2982	564	1179
leuD.t01	583	588	178	262	320	504	792	1433	413	606
leuC.t01	1154	959	409	512	442	778	1021	3322	653	1401
leuB.t01	980	697	216	337	270	540	637	2294	504	1092
leuA.t01	1351	1205	481	436	437	688	1214	3572	840	1572
leuL.t01	60	38	13	24	19	55	123	162	46	87
leuO.t01	954	703	191	212	254	361	744	2213	385	945
ilvI.t01	1563	1222	431	435	426	932	1435	4270	934	1725
ilvH.t01	415	381	97	102	95	208	378	1052	195	492
cra.t01	1370	1095	619	534	558	631	1505	2511	654	1005
mraZ.t01	1506	1241	748	1104	1002	819	2004	1845	714	459
rsmH.t01	2379	2153	1256	1276	1139	1304	1664	2874	929	942
